Category,SubCategory,SubSubCategory,Risk Score ,SubSubCategory (input),"Filter
Yes = Include No = Don't Include",Description,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Accessory,Accessory,Low,accessory,Yes,"An accessory is a person who assists in the commission of a crime, but who does not actually participate in the commission of the crime as a joint principal.",,,,,,,,,,,,,,,,,,,,
Criminal Intent,Accessory,Aid & Abet,Med,aid_and_abet,Yes,To assist someone in committing or encourage someone to commit a crime.  Does not apply to charges that list the actual crime.  E.g. Aid & Abet robbery is a robbery.,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Accessory,Compounding,Low,compounding,Yes,A criminal act in which a person agrees not to report the occurrence of a crime or not to prosecute a criminal offender in exchange for money or other consideration.,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Accessory,Harboring,Low,harboring,Yes,Harboring a fugitive refers to the crime of knowingly hiding a wanted criminal from the authorities.,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Accessory,Solicitation,Low,solicitation,Yes,"Criminal solicitation is requesting, encouraging or demanding someone to engage in criminal conduct, with the intent to facilitate or contribute to the commission of that crime.",,,,,,,,,,,,,,,,,,,,
Criminal Intent,Conspiracy,Attempt to Commit a Crime,Low,attempt_to_commit_a_crime,Yes,An attempt to commit a crime.  Does not apply to charges that list the actual crime.  E.g. Attempted robbery is robbery not an attempt.,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Conspiracy,Conspiracy,Low,conspiracy,Yes,Conspiracy is an agreement between two or more persons to commit a crime at some time in the future.  Does not apply to charges that list the actual crime.  E.g. Conspiracy robbery is robbery not conspiracy.,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Court Orders,Bail Jumping,High,bail_jumping,Yes,"Bail jumping is defined as the intentional failure to comply with conditions of bail, such as leaving the jurisdiction before your court date.",,,,,,,,,,,,,,,,,,,,
Criminal Intent,Court Orders,Contempt of Court,Low,contempt_of_court,Yes,"Contempt of court is the offence of being disobedient to or discourteous towards a court of law and its officers in the form of behavior that opposes or defies the authority, justice and dignity of the court.",,,,,,,,,,,,,,,,,,,,
Criminal Intent,Court Orders,Probation Violation,Med,probation_violation,Yes,The criminal act of violating a court ordered probation.,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Court Orders,Failure to Appear,Low,failure_to_appear,Yes,Failure to appear for a court hearing.,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Court Orders,Failure to Pay,Med,failure_to_pay,Yes,Failure to pay a court fine.,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Court Orders,Failure to Vacate,Low,failure_to_vacate,Yes,Failure to vacate housing after eviction.,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Court Orders,Fugitive,High,fugitive,Yes,"A fugitive from justice, also known as a wanted person, can be a person who is either convicted or accused of a crime and hiding from law enforcement in the state or taking refuge in a different country in order to avoid arrest",,,,,,,,,,,,,,,,,,,,
Criminal Intent,Court Orders,Violation of Protective Order,Low,violation_of_protective_order,Yes,The act of violating a court ordered protective or restraining order.,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Court Orders,Violation of Treatment Program,Low,violation_of_treatment_program,Yes,Not abiding by a court ordered treatment program.,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Criminal Tools,Possession of Criminal Tools,Med,possession_of_criminal_tools,Yes,To possess tools that are intended to facilitate crimes.,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Criminal Tools,Use Motor Vehicle in Commission of a Crime,High,use_motor_vehicle_in_commission_of_a_crime,Yes,Using a motor vehicle during the course of commiting another crime.,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Obstruction,Concealing Death,Low,concealing_death,Yes,Hinders a discovery of the unlawful killing of another.,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Obstruction,Escape,Med,escape,Yes,Escape from penal institution.,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Obstruction,Evidence Tampering,Low,evidence_tampering,Yes,"Tampering with evidence can be any action that destroys, alters, conceals, or falsifies any sort of evidence.",,,,,,,,,,,,,,,,,,,,
Criminal Intent,Obstruction,Fail to Identify,Low,fail_to_identify,Yes,"Failure to give identifying information to authorities after arrest or being detained.	",,,,,,,,,,,,,,,,,,,,
Criminal Intent,Obstruction,Fail to Obey Law Enforcement/Resist Arrest,High,fail_to_obey_law_enforcement_resist_arrest,Yes,Failing to obey instructions of law enforcement.  Includes resisting arrest from a law enforcement officer.,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Obstruction,Fail to Register as Sex Offender,Med,fail_to_register_as_sex_offender,Yes,Failure to register as a sex offender.  Often when moving addresses or changing personal information.,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Obstruction,False Statement,Low,false_statement,Yes,False statement to authorities.,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Obstruction,Falsification of Drug Test,Med,falsification_of_drug_test,Yes,Person who uses or posseses any substance or tool used to falsify the results of a drug test.,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Obstruction,Fleeing or Attempting to Elude Arrest,High,fleeing_or_attempting_to_elude_arrest,Yes,Fleeing from law enforcement or hiding from law enforcement while being pursued. ,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Obstruction,Interfere with Public Safety Officer Duties,Med,interfere_with_public_safety_officer_duties,Yes,"Unlawful conduct during emergency call, police or other emergency service.",,,,,,,,,,,,,,,,,,,,
Criminal Intent,Obstruction,Perjury,Med,perjury,Yes,"Perjury is the intentional act of swearing a false oath or falsifying an affirmation to tell the truth, whether spoken or in writing, concerning matters material to an official proceeding.",,,,,,,,,,,,,,,,,,,,
Criminal Intent,Obstruction,Witness Tampering,Med,witness_tampering,Yes,Witness tampering is the act of attempting to alter or prevent the testimony of witnesses within criminal or civil proceedings.,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Organized Crime,Gang Activity,High,gang_activity,Yes,Gang related offenses.,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Court Orders,Habitual Offender,High,habitual_offender,Yes,Repeated convictions of crimes.  At the felony level this is a 'habitual felon' charge.  At less than felony level this is often for repeated traffic charges (habitual violator).,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Organized Crime,Organized Crime,Med,organized_crime,Yes,"Organized crime is a category of transnational, national, or local groupings of highly centralized enterprises run by criminals who intend to engage in illegal activity, most commonly for money and profit.",,,,,,,,,,,,,,,,,,,,
Criminal Intent,Organized Crime,Racketeering,Med,racketeering,Yes,"A racket is a planned or organized criminal act, usually in which the criminal act is a form of business or a way to regularly, or briefly but repeatedly, earn illegal or extorted money.",,,,,,,,,,,,,,,,,,,,
Criminal Intent,Obstruction,Introduce Contraband into Correctional Facility,Low,introduce_contraband_into_correctional_facility,Yes,"Smuggling or taking drugs, weapons, or other illicit items into penal institutions.",,,,,,,,,,,,,,,,,,,,
Drugs & Alcohol,Alcohol & Tobacco,Minor in Possession of Alcohol,,minor_in_possession_of_alcohol,No,Underage possession of alcohol.,,,,,,,,,,,,,,,,,,,,
Drugs & Alcohol,Alcohol & Tobacco,Minor in Possession of Tobacco,,minor_in_possession_of_tobacco,No,Underage possession of tobacco.,,,,,,,,,,,,,,,,,,,,
Drugs & Alcohol,Alcohol & Tobacco,Open Container,Med,open_container,Yes,"Open container laws prohibit the existence of open containers of alcohol in certain areas, as well as the active consumption of alcohol in those areas",,,,,,,,,,,,,,,,,,,,
Drugs & Alcohol,Alcohol & Tobacco,Public Intoxication,Low,public_intoxication,Yes,"Public intoxication, also known as ""drunk and disorderly"" and drunk in public, is a summary offense in some countries rated to public cases or displays of drunkenness.",,,,,,,,,,,,,,,,,,,,
Drugs & Alcohol,Alcohol & Tobacco,Purchase Alcohol by Minor,Low,purchase_alcohol_by_minor,Yes,Underage purchase of alcohol.,,,,,,,,,,,,,,,,,,,,
Drugs & Alcohol,Alcohol & Tobacco,Purchasing Alcohol for Minor,Low,purchasing_alcohol_for_minor,Yes,When a person of age purchases alcohol for a minor.,,,,,,,,,,,,,,,,,,,,
Drugs & Alcohol,Alcohol & Tobacco,Unlawful Sale of Alcohol to Minor,Low,unlawful_sale_of_alcohol_to_minor,Yes,Illegally selling alcohol to an underage person.,,,,,,,,,,,,,,,,,,,,
Drugs & Alcohol,Alcohol & Tobacco,Unlawful Sale of Tobacco to Minor,Low,unlawful_sale_of_tobacco_to_minor,Yes,Illegally selling tobacco to an underage person.,,,,,,,,,,,,,,,,,,,,
Drugs & Alcohol,Alcohol & Tobacco,Unstamped Tobacco,,unstamped_tobacco,No,Possessing tobacco without tax stamps - not paying tax on tobacco.,,,,,,,,,,,,,,,,,,,,
Drugs & Alcohol,Driving under the Influence (DUI),Driving Under the Influence,High,driving_under_the_influence,Yes,"Known as a DUI, this is when someone is driving a vehicle while drunk (BAC > .08%) or under the influence of drugs.",,,,,,,,,,,,,,,,,,,,
Drugs & Alcohol,Driving under the Influence (DUI),Driving Under the Influence (Recreational Vehi...,High,driving_under_the_influence_recreational_vehi,Yes,"Driving a boat, plane, bike, or other recreational vehicle under the influence.",,,,,,,,,,,,,,,,,,,,
Drugs & Alcohol,Driving under the Influence (DUI),Minor Driving under the Influence (DUI),High,minor_driving_under_the_influence_dui,Yes,A minor driving under the influence of drugs or alcohol.,,,,,,,,,,,,,,,,,,,,
Drugs & Alcohol,Driving under the Influence (DUI),Open Container in Vehicle,High,open_container_in_vehicle,Yes,Having an open container of alcohol in a vehicle while operating.,,,,,,,,,,,,,,,,,,,,
Drugs & Alcohol,Driving under the Influence (DUI),Physical Control,High,physical_control,Yes,Being in the driver's position of the front seat of a vehicle and having possession of the ignition key while under the influence of alcohol or drugs.,,,,,,,,,,,,,,,,,,,,
Drugs & Alcohol,Driving under the Influence (DUI),Refuse Chemical Test,Med,refuse_chemical_test,Yes,Refusing to take a test for driving under the influence.,,,,,,,,,,,,,,,,,,,,
Drugs & Alcohol,Drugs-Marijuana Possession/Use,Marijuana Possession/Use,Med,marijuana_possession_use,Yes,Possessing marijuana.,,,,,,,,,,,,,,,,,,,,
Drugs & Alcohol,Drugs-Possession/Use,Drug Possession,Med,drug_possession,Yes,Possessing illegal drugs for personal use (does not include Marijuana).,,,,,,,,,,,,,,,,,,,,
Drugs & Alcohol,Drugs-Possession/Use,Intent to Possess Drugs,Med,intent_to_possess_drugs,Yes,Loitering or trying to purchase illegal drugs.,,,,,,,,,,,,,,,,,,,,
Drugs & Alcohol,Drugs-Possession/Use,Possession of Drug Paraphernalia,Med,possession_of_drug_paraphernalia,Yes,Possession of devices or instruments for illegal drug use.  Also includes purchasing or using illegal drug paraphernalia.,,,,,,,,,,,,,,,,,,,,
Drugs & Alcohol,Drugs-Possession/Use,Possession of Drug without Prescription,Med,possession_of_drug_without_prescription,Yes,Possessing a medical drug without a prescription.,,,,,,,,,,,,,,,,,,,,
Drugs & Alcohol,Drugs-Possession/Use,Under the Influence of Illegal Drugs,Med,under_the_influence_of_illegal_drugs,Yes,The act of illegal drug intoxication.,,,,,,,,,,,,,,,,,,,,
Drugs & Alcohol,Drugs-Sale & Manufacture,Maintain Drug House,Med,maintain_drug_house,Yes,"Knowingly owns, leases, opens, or rents any place for the purpose of manufacturing, distributing, or using any controlled substance.",,,,,,,,,,,,,,,,,,,,
Drugs & Alcohol,Drugs-Sale & Manufacture,Marijuana Cultivation,Med,marijuana_cultivation,Yes,Growing marijuana.,,,,,,,,,,,,,,,,,,,,
Drugs & Alcohol,Drugs-Sale & Manufacture,Marijuana Manufacture/Sell/Distribute,Med,marijuana_manufacture_sell_distribute,Yes,Contributing to distribution and spread of marijuana.  Also includes possession with intent to sell Marijuana.,,,,,,,,,,,,,,,,,,,,
Drugs & Alcohol,Drugs-Sale & Manufacture,Possession with Intent to Sell,Med,possession_with_intent_to_sell,Yes,Possession of drugs with intent to sell (does not include Marijuana)..,,,,,,,,,,,,,,,,,,,,
Drugs & Alcohol,Drugs-Sale & Manufacture,Sell/Distribute/Manufacture Counterfeit Drugs,Med,sell_distribute_manufacture_counterfeit_drugs,Yes,Contributing to distribution and spread of counterfeit illegal drugs (does not include Marijuana). ,,,,,,,,,,,,,,,,,,,,
Drugs & Alcohol,Drugs-Sale & Manufacture,Sell/Distribute/Manufacture Drugs,Med,sell_distribute_manufacture_drugs,Yes,Contributing to distribution and spread of illegal drugs (does not include Marijuana).  If no drug is specified then choose this instead of Mairijuana distribution.,,,,,,,,,,,,,,,,,,,,
Fraud & Deception,Bribery & Corruption,Bribery,Low,bribery,Yes,"Offering, giving, receiving, or soliciting of any item of value to influence the actions of an official or other person in charge of a public or legal duty.",,,,,,,,,,,,,,,,,,,,
Fraud & Deception,Bribery & Corruption,Corruption,Low,corruption,Yes,Dishonest or fraudulent conduct by those in power.,,,,,,,,,,,,,,,,,,,,
Fraud & Deception,Bribery & Corruption,Official Misconduct,Low,official_misconduct,Yes,"Commission of an unlawful act, done in an official capacity, which affects the performance of official duties. ",,,,,,,,,,,,,,,,,,,,
Fraud & Deception,Bribery & Corruption,Use Public Influence,Low,use_public_influence,Yes,Using position of power to force unwanted conduct or actions.,,,,,,,,,,,,,,,,,,,,
Fraud & Deception,Business & Tax,Business Violations,,business_violations,No,"Various business violations that do not include the following (Contracting without a License, Failure to Pay Wages, No Business License, Tax Violation).",,,,,,,,,,,,,,,,,,,,
Fraud & Deception,Business & Tax,Contracting without a License,,contracting_without_a_license,No,Providing labor or materials professionally without a license.,,,,,,,,,,,,,,,,,,,,
Fraud & Deception,Business & Tax,Failure to Pay Wages,,failure_to_pay_wages,No,Failure to pay employee wages.,,,,,,,,,,,,,,,,,,,,
Fraud & Deception,Business & Tax,No Business License,,no_business_license,No,Operating a business without a license.,,,,,,,,,,,,,,,,,,,,
Fraud & Deception,Business & Tax,Tax Violation,,tax_violation,No,"Failure to file, pay, or any other violation of the tax code.",,,,,,,,,,,,,,,,,,,,
Fraud & Deception,Cyber Crimes,Cyber Crimes,Med,cyber_crimes,Yes,"Use of computer, communication facility or network to commit criminal act.  Does not include child pornography, nor solicitation of minor via computer.",,,,,,,,,,,,,,,,,,,,
Fraud & Deception,Embezzlement,Embezzlement,Med,embezzlement,Yes,"Embezzlement is the act of withholding assets for the purpose of conversion (theft) of such assets, by one or more persons to whom the assets were entrusted, either to be held or to be used for specific purposes.",,,,,,,,,,,,,,,,,,,,
Fraud & Deception,Forgery,Counterfeiting,Med,counterfeiting,Yes,Counterfeit products are fakes or unauthorized replicas of the real product.,,,,,,,,,,,,,,,,,,,,
Fraud & Deception,Forgery,Fake/False/Altered Identification,High,fake_false_altered_identification,Yes,Creating or trafficking in fake or unauthorized identification documents.,,,,,,,,,,,,,,,,,,,,
Fraud & Deception,Forgery,Fictitious Plates,High,fictitious_plates,Yes,"Fake or unauthorized vehicle license plates, registration or tags.",,,,,,,,,,,,,,,,,,,,
Fraud & Deception,Forgery,Forgery,Med,forgery,Yes,"Forgery is the process of making, adapting, or imitating objects, statistics, or documents with the intent to deceive for the sake of altering the public perception, or to earn profit by selling the forged item. ",,,,,,,,,,,,,,,,,,,,
Fraud & Deception,Forgery,Prescription Forgery,Low,prescription_forgery,Yes,Forging medical prescriptions.,,,,,,,,,,,,,,,,,,,,
Fraud & Deception,Forgery,Tamper with Official Record,High,tamper_with_official_record,Yes,"Manipulating, falsifying, or destroying official records.  Does not include tampering with victim or evidence of a criminal case.",,,,,,,,,,,,,,,,,,,,
Fraud & Deception,Fraud,Bank/Securities Fraud,Med,bank_securities_fraud,Yes,"Security fraud, also known as stock fraud and investment fraud, is a deceptive practice in the stock or commodities markets that induces investors to make purchase or sale decisions on the basis of false information, frequently resulting in losses, in violation of securities laws.",,,,,,,,,,,,,,,,,,,,
Fraud & Deception,Fraud,Benefits/Welfare Fraud,Low,benefits_welfare_fraud,Yes,Submitting false or misleading information to a government agency in order to obtain a benefit.  Includes food stamp fraud and welfare code violations.,,,,,,,,,,,,,,,,,,,,
Fraud & Deception,Fraud,Bigamy,,bigamy,No,Bigamy is the act of entering into a marriage with one person while still legally married to another.,,,,,,,,,,,,,,,,,,,,
Fraud & Deception,Fraud,Check Fraud,High,check_fraud,Yes,Fraudulently using checks.  More intent to decieve than a worthless or bad check.,,,,,,,,,,,,,,,,,,,,
Fraud & Deception,Fraud,Credit Card Fraud,High,credit_card_fraud,Yes,"Credit card fraud is a wide-ranging term for theft and fraud committed using or involving a payment card, such as a credit card or debit card, as a fraudulent source of funds in a transaction.",,,,,,,,,,,,,,,,,,,,
Fraud & Deception,Fraud,Fraud,High,fraud,Yes,Wrongful or criminal deception intended to result in financial or personal gain. Also includes concealment of financial assets or property.,,,,,,,,,,,,,,,,,,,,
Fraud & Deception,Fraud,Health Care Fraud,Low,health_care_fraud,Yes,Fraud related to medicine or health care.,,,,,,,,,,,,,,,,,,,,
Fraud & Deception,Fraud,Insurance Fraud,High,insurance_fraud,Yes,Insurance fraud is any act committed with the intent to obtain a fraudulent outcome from an insurance process.,,,,,,,,,,,,,,,,,,,,
Fraud & Deception,Fraud,Money Laundering,Low,money_laundering,Yes,"Money laundering is the process of transforming the profits of crime and corruption into ostensibly ""legitimate"" assets.",,,,,,,,,,,,,,,,,,,,
Fraud & Deception,Identity Theft & Impersonation,Criminal Impersonation,High,criminal_impersonation,Yes,Impersonating another person for financial or other gain.,,,,,,,,,,,,,,,,,,,,
Fraud & Deception,Identity Theft & Impersonation,Identity Theft,High,identity_theft,Yes,"Identity theft occurs when someone uses another's personally identifying information, like their name, identifying number, or credit card number, without their permission, to commit fraud or other crimes.",,,,,,,,,,,,,,,,,,,,
Fraud & Deception,Identity Theft & Impersonation,Impersonating an Officer,High,impersonating_an_officer,Yes,Impersonating an officer or public official - often to commit a crime.,,,,,,,,,,,,,,,,,,,,
Fraud & Deception,Identity Theft & Impersonation,Possess Fake ID,High,possess_fake_id,Yes,Possessing fake identification.,,,,,,,,,,,,,,,,,,,,
Fraud & Deception,Identity Theft & Impersonation,Unlawful Use of ID,High,unlawful_use_of_id,Yes,"Unlawfully using identification to gain entry or access to property, finances, or any other purpose.",,,,,,,,,,,,,,,,,,,,
Fraud & Deception,Worthless Check,Worthless Instrument,High,worthless_instrument,Yes,"Bad check, worthless check, or any other worthless document used to exchange money.  Less fraudulent intent than check fraud.",,,,,,,,,,,,,,,,,,,,
Homicide,Attempted Homicide,Attempted Homicide,Med,attempted_homicide,Yes,Attempt to kill another person.,,,,,,,,,,,,,,,,,,,,
Homicide,Intentional Homicide,Intentional Homicide,High,intentional_homicide,Yes,Intentionally kill another person.,,,,,,,,,,,,,,,,,,,,
Homicide,Unintentional Killing,Hit & Run Causing Death,High,hit_and_run_causing_death,Yes,Causing death via a vehicle and not stopping at scene of accident.,,,,,,,,,,,,,,,,,,,,
Homicide,Unintentional Killing,Manslaughter,Med,manslaughter,Yes,"The crime of killing a human being without malice aforethought, or otherwise in circumstances not amounting to murder.  Does not include driving causing death.",,,,,,,,,,,,,,,,,,,,
Homicide,Unintentional Killing,Negligent Homicide,Med,negligent_homicide,Yes,Allowing another person to die through criminal negligence.,,,,,,,,,,,,,,,,,,,,
Homicide,Unintentional Killing,Reckless Driving Causing Death,High,reckless_driving_causing_death,Yes,Causing a death from reckless driving.  Includes driving under the influence causing death.,,,,,,,,,,,,,,,,,,,,
Security,Immigration,Assisting Illegal Alien,Low,assisting_illegal_alien,Yes,Aiding or assisting an illegal immigrant.,,,,,,,,,,,,,,,,,,,,
Security,Immigration,Illegal Immigration,Med,illegal_immigration,Yes,"Illegal immigration is the illegal entry of a person or a group of persons across a country's border, in a way that violates the immigration laws of the destination country, with the intention to remain in the country.",,,,,,,,,,,,,,,,,,,,
Security,Terrorism,Terrorism,High,terrorism,Yes,"Terrorism is, in the broadest sense, the use of intentionally indiscriminate violence as a means to create terror, or fear, to achieve a political, religious or ideological aim.",,,,,,,,,,,,,,,,,,,,
Security,Terrorism,Terroristic Threats,High,terroristic_threats,Yes,"To threaten violence, endangerment, or other terroristic acts.",,,,,,,,,,,,,,,,,,,,
Security,Treason,Misprision,Med,misprision,Yes,Concealing a felony or serious crime to a state.,,,,,,,,,,,,,,,,,,,,
Security,Treason,Treason,Med,treason,Yes,The offense of attempting to overthrow the government of one's country or of assisting its enemies in war.  Includes spying and treason.,,,,,,,,,,,,,,,,,,,,
Sexual,Lewd Behavior,Improper Sexual Relationship,,improper_sexual_relationship,No,Relationship with someone of age and someone not of age.  Does not include lewd acts with a minor.  Commonly a student/teacher relationship.,,,,,,,,,,,,,,,,,,,,
Sexual,Lewd Behavior,Indecent Exposure,,indecent_exposure,No,The crime of intentionally showing one's sexual organs in public.,,,,,,,,,,,,,,,,,,,,
Sexual,Lewd Behavior,Lewd & Lascivious Activity/Conduct/Behavior,,lewd_and_lascivious_activity_conduct_behavior,No,"Offense sexual in conduct, usually involving touching, not as severe as rape or sexual assault.",,,,,,,,,,,,,,,,,,,,
Sexual,Lewd Behavior,STD Exposure,,std_exposure,No,Exposing another to a sexually transmitted disease by concealment.  Includes giving HIV to another.,,,,,,,,,,,,,,,,,,,,
Sexual,Lewd Behavior,Voyeurism,,voyeurism,No,The practice of gaining sexual pleasure from watching others when they are naked or engaged in sexual activity.,,,,,,,,,,,,,,,,,,,,
Sexual,Prostitution,Promoting Prostitution,Med,promoting_prostitution,Yes,Promoting sex work - running a brothel or other area of prositution.,,,,,,,,,,,,,,,,,,,,
Sexual,Prostitution,Prostitution,Med,prostitution,Yes,Engage in sexual acts for compensation.,,,,,,,,,,,,,,,,,,,,
Sexual,Prostitution,Prostitution Involving Minor,Med,prostitution_involving_minor,Yes,Engage in sexual acts with a minor for compensation.,,,,,,,,,,,,,,,,,,,,
Sexual,Prostitution,Soliciting a Prostitute,Med,soliciting_a_prostitute,Yes,Requesting or seeking out sexual acts for money.,,,,,,,,,,,,,,,,,,,,
Sexual,Sexual Abuse,Child Pornography,High,child_pornography,Yes,Pornography involving children.,,,,,,,,,,,,,,,,,,,,
Sexual,Sexual Abuse,Incest,,incest,No,Incest is sexual activity between family members or close relatives.,,,,,,,,,,,,,,,,,,,,
Sexual,Sexual Abuse,Lewd Behavior with a Minor,Med,lewd_behavior_with_a_minor,Yes,Crude and offensive conduct that is sexual in nature with a minor.,,,,,,,,,,,,,,,,,,,,
Sexual,Sexual Abuse,Pandering Obscenities,Med,pandering_obscenities,Yes,Creating or distributing sexual acts on camera without consent.,,,,,,,,,,,,,,,,,,,,
Sexual,Sexual Abuse,Rape,High,rape,Yes,Forced sexual intercourse with another person.,,,,,,,,,,,,,,,,,,,,
Sexual,Sexual Abuse,Sexual Assault,High,sexual_assault,Yes,Unwanted sexual contact.,,,,,,,,,,,,,,,,,,,,
Sexual,Sexual Abuse,Sexual Assault of a Minor,High,sexual_assault_of_a_minor,Yes,Unwanted sexual contact with a minor.,,,,,,,,,,,,,,,,,,,,
